project_gid,project_name,archived,created_at,start_on,due_on,owner,team,n_tasks,first_completed,last_completed,span_days_completed,span_days_start_due,cf::Progress,cf::Weekly Meeting Status,cf::Project Point Person,cf::Priority,cf::End Date,cf::Actual time rollup,cf::Project Type,cf::Started Range,cf::Post-Project Status,cf::Type of Project,cf::Credit Bearing?,cf::Faculty Members,cf::Estimated T-Shirt Size,cf::Actual T-Shirt Size,cf::Budget,cf::Project Members,cf::Learning Design Rank,cf::Media Ranking,cf::PM Ranking,cf::Academic Department,cf::Working Group Project Status,cf::ODL Project Status,cf::Launch Date,cf::Modality,cf::Platform,cf::XR Component,cf::External Partner(s),cf::Intended Audience,cf::Project Funding Source,cf::Future Iteration,cf::Current Phase,cf::Impact Tracker Status,cf::Estimated time,cf::Stage,cf::Academic Department / Institute,cf::# of Learning Design Responses,cf::# of Media Responses,cf::# of PM Responses,cf::Actual costs (total),cf::Actual time (total),cf::Estimated costs (total),cf::Estimated time (total),cf::NDL Project Status,cf::AMP | Proj. Date to Production,cf::AMP | Actual Date to Production,cf::AMP | Proj. Date to Printer,cf::AMP | Actual Date to Printer,cf::AMP | Proj. Delivery Date,cf::AMP | Actual Delivery Date,cf::Budgeted time,cf::Hi,cf::Custom Start Date
1208932698980144,PM Board,False,2024-12-09T05:07:55.985Z,,,Michael Lerma,Project Managment Team,56,2024-12-09T18:14:12.681000+00:00,2025-01-31T13:31:17.425000+00:00,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208963580488220,Responsible and Ethical AI,False,2024-12-13T14:10:02.009Z,2025-12-31,2025-12-31,Lawrence Greenspun,ODL Team,154,2025-01-19T20:26:33.034000+00:00,2026-01-05T12:36:35.004000+00:00,351,0,,,,,,2w 0d,,,,Inter-organizational Project,Yes,Valya Kuskova,L,XL,,"Brianna Stines, Lawrence Greenspun, Kevin DeCloedt",,,,Lucy,,Complete,,,,,,,,,,Up to date,,,Lucy,,,,,,,,,,,,,,,,,
1209018174328538,ACE Assessment Modules Asset Spreadsheet,False,2024-12-19T17:54:07.575Z,,,Michael Lerma,ODL Team,13,2025-04-16T17:58:28.497000+00:00,2025-04-16T17:58:37.387000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,Asset Spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209092823113258,Test 14,False,2025-01-06T17:59:27.594Z,2025-01-06,2025-02-19,,ODL Team,4,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209100108497907,ODL Intake,False,2025-01-07T14:55:54.299Z,,,Michael Lerma,ODL Team,25,2025-02-11T18:02:42.564000+00:00,2026-05-13T19:45:20.642000+00:00,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209101623231546,Calc I Summer Online Asset Spreadsheet,False,2025-01-07T17:48:59.319Z,,,Matthew Simmons,ODL Team,76,2025-06-23T18:12:08.114000+00:00,2025-06-23T18:13:57.364000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,Asset Spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209103142080500,Lawrence Time and Capacity Tracking Part 1,False,2025-01-09T13:42:45.472Z,,,Lawrence Greenspun,Project Managment Team,6,2025-01-14T13:52:28.690000+00:00,2025-01-19T15:38:08.135000+00:00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209103283248265,Lawrence Time and Capacity Tracking Part 2 January 13 - 17,False,2025-01-10T19:29:53.467Z,,,Lawrence Greenspun,Project Managment Team,22,2025-02-23T18:55:07.661000+00:00,2025-02-23T18:58:03.730000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209109368415840,Template - Full Project (Updated Jan 2025),False,2025-01-08T17:25:02.903Z,,,Michael Lerma,ODL Team,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209116404156395,3D Environments Asset Spreadsheet,False,2025-01-09T13:11:29.122Z,,,Matthew Simmons,ODL Team,26,2025-08-18T14:04:27.881000+00:00,2025-09-22T13:34:18.896000+00:00,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209140307416568,Detailed Time Tracking,False,2025-01-15T14:20:32.743Z,,,Lawrence Greenspun,Project Managment Team,15,2025-01-16T13:33:56.992000+00:00,2025-01-19T15:40:49.866000+00:00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209243150458147,Template - Media Only Project (Updated Jan 2025),False,2025-01-27T05:07:16.740Z,,,Michael Lerma,ODL Team,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209254874093285,Colin's Projects,False,2025-01-27T17:54:56.495Z,2025-01-27,2025-03-12,Colin Gallagher,ODL Team,8,2025-01-31T20:52:18.303000+00:00,2025-01-31T20:52:19.964000+00:00,0,44,,,,,,19h 51m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209298164735103,AI for the Notre Dame Community,False,2025-02-02T20:24:01.444Z,,2026-07-27,Lawrence Greenspun,ODL Team,88,2025-02-09T18:45:21.125000+00:00,2025-11-28T14:52:41.816000+00:00,292,,,,,,,2w 4d,,,,New Course Design,No,Nathaniel Myers,L,,,"Lawrence Greenspun, Yi Lu, Kevin DeCloedt",,,,Writing Faculty,,In Progress,,,,,,,,,QA,Outdated,,,?Writing Faculty?,,,,0.00,336h 55m,0.00,22h 00m,,,,,,,,,,
1209298165345682,PM Projects,False,2025-02-04T15:49:51.173Z,,,Lawrence Greenspun,Project Managment Team,223,2025-02-06T20:30:03.361000+00:00,2025-12-26T17:49:50.748000+00:00,323,,,,,,,1w 5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209417474929053,Business on the Frontlines XR,False,2025-02-17T14:18:02.534Z,,2025-09-30,Michael Lerma,ODL Team,23,2025-02-24T14:15:07.126000+00:00,2025-05-05T13:34:31.590000+00:00,70,,,,,,,,,,,"XR Project (VR, AR, MR)",No,Kelly Rubey,M,,,"Michael Takami, Michael Lerma, KC Frye",,,,Mendoza,,Complete,,,,,,,,,,Outdated,,,Mendoza,,,,,,,,,,,,,,,,,
1209484413612062,ECG Videos,False,2025-02-24T18:15:32.903Z,,,Lawrence Greenspun,ODL Team,33,2025-03-03T13:17:54.284000+00:00,2025-03-14T12:46:51.819000+00:00,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209679644127773,Radio Systems Course,False,2025-03-14T12:56:42.041Z,,2025-12-31,Lawrence Greenspun,ODL Team,68,2025-03-17T12:20:44.895000+00:00,2025-12-26T17:23:07.469000+00:00,284,,,,,,,6d 3h,,,,Research Project,No,Nick Laneman,L,,,"Lawrence Greenspun, Kuangchen Hsu, Kevin DeCloedt",,,,Engineering,,In Progress,,,,,,,,,,Outdated,,,,,,,0.00,122h 00m,0.00,16h 00m,,,,,,,,,,
1209741238247552,Political Science SO Course,False,2025-03-21T13:44:07.248Z,,,Lawrence Greenspun,ODL Team,35,2025-03-21T13:47:30.007000+00:00,2025-04-24T00:38:17.589000+00:00,34,,,,,,,4h 25m,,,,New Course Design,Yes,Angela McCarthy,S,,,"Kuangchen Hsu, Lawrence Greenspun",,,,Political Science,,On Hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209803738475381,Multimedia Writing and Rhetoric,False,2025-03-26T19:17:46.214Z,,,Matthew Simmons,ODL Team,23,2025-03-26T19:18:04.646000+00:00,2025-03-26T19:18:04.646000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209877145593345,AI Assisted Rubric Scoring,False,2025-04-02T23:58:42.272Z,2025-05-28,2025-05-28,Michael Lerma,Learning Analytics Team,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209877145593349,Assess Educators’ Generative AI Literacy,False,2025-04-03T00:01:01.140Z,2025-05-28,2025-05-28,Michael Lerma,Learning Analytics Team,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209877147787603,Dept AI-lieracy Survey,False,2025-04-03T00:03:39.310Z,,2025-04-11,Michael Lerma,Learning Analytics Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209877147787607,FCTA Physics Performance Analytics,False,2025-04-03T00:04:23.221Z,,,Michael Lerma,Learning Analytics Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209877147787611,JimPT first phase work,False,2025-04-03T00:06:52.571Z,,,Michael Lerma,Learning Analytics Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209877147787615,biology/ organic chemistry meta-cognitive analytics ,False,2025-04-03T00:07:16.004Z,2025-04-11,2025-04-11,Michael Lerma,Learning Analytics Team,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209993089076881,Template - Full Project (Updated Jan 2025),False,2025-04-16T16:22:15.315Z,,,Lawrence Greenspun,ODL Team,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210172923319793,Guardian Angel Project,False,2025-05-06T14:45:23.916Z,,,Michael Lerma,Learning Analytics Team,0,,,,,,,,,,,,,,,,,,,,,,,,,In Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210172923319801,Biology Molecules to Ecosystems Course Analytics & Evaluation,False,2025-05-06T14:46:08.189Z,,,Michael Lerma,Learning Analytics Team,0,,,,,,,,,,,,,,,,,,,,,,,,,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210172923319805,Orgo Metacognititve Analytics,False,2025-05-06T14:46:41.455Z,,,Michael Lerma,Learning Analytics Team,0,,,,,,,,,,,,,,,,,,,,,,,,,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210172924278327,AI Academy (Spring 2025),False,2025-05-06T16:11:24.994Z,,,Michael Lerma,AI Working Group Team,27,2025-05-06T16:13:02.820000+00:00,2025-05-06T16:13:24.101000+00:00,0,,,,,,,,,,,,,,,,,,,,,,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210172924278399,AI Academy Fall 2025,False,2025-05-06T16:20:51.590Z,,,Michael Lerma,AI Working Group Team,42,2025-09-16T16:40:50.133000+00:00,2025-09-16T16:41:07.316000+00:00,0,,,,,,,,,,,,,,,,,,,,,,In Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210172924278423,AI Dept Questionnaire V2,False,2025-05-06T16:26:10.046Z,,,Michael Lerma,AI Working Group Team,0,,,,,,,,,,,,,,,,,,,,,,,,,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210202036254651,Sprint 2025: Statistics Flipped Class,False,2025-05-09T19:37:53.253Z,2025-08-15,2025-08-15,Lawrence Greenspun,ODL Team,43,2025-05-15T19:10:42.894000+00:00,2026-01-02T20:00:35.897000+00:00,232,0,,,,,,1d 9h,,,,Sprint,Yes,Josephine Akosa,M,,,"Yi Lu, Janyl Ismailova",,,,Mendoza,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210202036254727,Sprint 2025: AI Tutor--Critical Thinking,False,2025-05-09T19:48:04.804Z,,2025-06-27,Lawrence Greenspun,ODL Team,44,2025-05-14T00:38:06.654000+00:00,2025-11-28T14:53:47.478000+00:00,198,,,,,,,12h 45m,,,,Sprint,Yes,Paul Blaschko,S,,,"Kuangchen Hsu, Lawrence Greenspun",,,,Philosophy,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210202036254791,Sprint 2025: Transforming FIN / MSBR Course,False,2025-05-09T19:57:01.166Z,,2025-06-27,Lawrence Greenspun,ODL Team,44,2025-05-16T13:45:52.974000+00:00,2025-11-28T14:53:29.783000+00:00,196,,,,,,,9h 45m,,,,Sprint,Yes,Jason Reed and Seth Berry,S,,,"Kuangchen Hsu, Lawrence Greenspun",,,,Mendoza,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210512287873910,test,False,2025-06-10T16:02:25.748Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210766542881214,[Converted to project] Test 15,False,2025-07-10T17:27:14.033Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project Initiated - XR Working Group,,,,,,,,,
1210802230257104,Test - XR Working Group Project,False,2025-07-15T15:26:49.974Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project Initiated - XR Working Group,,,,,,,,,
1210853123254736,XR Working Group Fast Track,False,2025-07-22T01:47:08.051Z,,,Michael Lerma,ODL Team,1,2025-07-22T01:47:04.625000+00:00,2025-07-22T01:47:04.625000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210951195644528,LD Projects,False,2025-08-01T17:26:19.362Z,,,Michael Lerma,ODL Team,18,2025-08-01T17:32:41.248000+00:00,2026-01-15T15:42:39.087000+00:00,167,,,,,,,3d 22h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210971259338451,TEST - Fast Track LAITL,False,2025-08-05T01:22:44.811Z,,,Nara Schmitt,ODL Team,4,2025-08-05T01:21:00.309000+00:00,2025-08-05T01:22:40.969000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210988557115684,Fall 2025 Faculty AI in Teaching and Learning Needs Assessment,False,2025-08-06T15:26:12.280Z,,,Nara Schmitt,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project Initiated - Kaneb Center,,,,,,,,,
1211134268245785,ACE Higher Powered Learning (HPL),False,2025-08-25T20:19:16.761Z,,2026-01-31,Janyl Ismailova,ODL Team,29,2025-08-25T20:21:06.829000+00:00,2026-01-09T19:32:40.998000+00:00,137,,,,,,,2d 1h,,,,Course Redesign / Refresh,Yes,,,,,"Yi Lu, Janyl Ismailova, Michael Lerma",,,,ACE,,Complete,,,,,,,,,QA,Up to date,,,,,,,,,,,,,,,,,,,,
1211140968261021,Evaluating Generative AI as a Critical Thinking Tutor in God and the Good Life,False,2025-08-25T15:28:36.483Z,,,Michael Lerma,NDL Leadership,0,,,,,,,,,,,,,,,,,,,,,,,,,In Progress,,,,,,,,,,,,,,,,,,,,,,Project Initiated - LAITL/AI Working Group,,,,,,,,,
1211154824956969,Force for Good Video Project,False,2025-08-27T17:24:34.288Z,2025-11-26,2025-11-26,Lawrence Greenspun,ODL Team,49,2025-08-27T17:25:05.817000+00:00,2026-01-09T19:33:17.984000+00:00,135,0,,,,,,1d 21h,,,,Media Creation,Yes,Erin and Terry McDonnell,M,,,"Kevin DeCloedt, Derrick Patrick",,,,Sociology,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211213483317129,AI Faculty and Student Summit ,False,2025-09-02T18:06:14.180Z,,,Michael Lerma,NDL Leadership,10,2025-09-16T15:59:03.265000+00:00,2025-09-16T15:59:23.935000+00:00,0,,,,,,,,,,,,,,,,,,,,,,In Progress,,,,,,,,,,,,,,,,,,,,,,Leadership Capacity Approval Needed,,,,,,,,,
1211360177216094,360 XR Workshop,False,2025-09-15T13:13:58.225Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,"Yi Lu, KC Frye",,,,,,Complete,,,,,,,,,,Up to date,,,,,,,,,,,,,,,,,,,,
1211360177216098,Summer Online 2026,False,2025-09-15T13:14:28.001Z,,,Michael Lerma,ODL Team,2,,,,,,,,,,5h 00m,,,,,,,,,,,,,,,,In Progress,,,,,,,,,,Up to date,,,,,,,0.00,26h 30m,0.00,87h 00m,,,,,,,,,,
1211374929338555,Integrating AI Fluency into Physical Chemistry through Peer Instruction Polling,False,2025-09-16T16:12:50.262Z,,,Michael Lerma,AI Working Group Team,0,,,,,,,,,,,,,,,,,,,,,,,,,In Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211374929338571,AI Coaching for Faculty Launch,False,2025-09-16T16:19:25.410Z,,,Michael Lerma,AI Working Group Team,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211385006360353,Veterans College Math Readiness Course,False,2025-09-18T12:04:24.253Z,,2026-06-10,Annie Conaghan,ODL Team,75,2025-09-18T12:05:30.903000+00:00,2026-04-08T18:47:35.499000+00:00,202,,,,,,,5d 19h,,,,New Course Design,Yes,Brian Mulholland,L,,,"Kuangchen Hsu, Matthew Simmons",,,,Math,,In Progress,,,,,,,,,Post-Production / Course Building,,,,,,,,0.00,147h 35m,0.00,9h 00m,,,,,,,,,,
1211440676010048,adam@nd.edu's previously assigned tasks,False,2025-09-23T14:20:53.583Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211489930659695,MS-ACMS Faculty Videos,False,2025-09-29T02:27:03.298Z,,,Janyl Ismailova,ODL Team,25,2025-09-29T02:31:02.282000+00:00,2025-12-15T02:20:35.512000+00:00,77,,,,,,,5h 00m,,,,,,,,,,"Matthew Simmons, Janyl Ismailova",,,,,,Complete,,,,,,,,,,Up to date,,,,,,,,,,,,,,,,,,,,
1211494942386612,"Evaluation of Pangram, AI Detector",False,2025-09-29T13:08:24.773Z,,,Michael Lerma,NDL Leadership,4,2025-09-22T19:11:16.088000+00:00,2025-09-29T13:07:48.026000+00:00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project Initiated - LAITL/AI Working Group,,,,,,,,,
1211499735967336,Training TAs on how to use Google Gemini to assist their grading.,False,2025-09-29T16:12:53.045Z,,,Michael Lerma,NDL Leadership,4,2025-09-22T22:39:29.734000+00:00,2025-09-29T16:12:34.943000+00:00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project Initiated - LAITL/AI Working Group,,,,,,,,,
1211522983728171,AI PD & Content Development AND Faculty Spotlights & Pedagogical AI Gallery,False,2025-10-01T14:14:35.732Z,,,Michael Lerma,NDL Leadership,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project Initiated - LAITL/AI Working Group,,,,,,,,,
1211592424221769,Impact Tracker,False,2025-10-09T17:28:42.728Z,,,Jordan Boskovich,ODL Team,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211653962736510,Business for Humans | Sheedy Family Program,False,2025-10-15T19:49:13.101Z,,2026-08-31,Michael Lerma,ODL Team,33,2026-03-20T15:27:05.274000+00:00,2026-06-08T13:37:51.972000+00:00,80,,,,,,,3d 20h,,,,New Course Design,Yes,,L,,,"Brianna Stines, Michael Lerma, Kevin DeCloedt",,,,Arts and Letters,,In Progress,,,,,,,,,Design,Up to date,,,,,,,0.00,204h 25m,0.00,178h 00m,Project Initiated - ODL,,,,,,,,,
1211654114707733,ND-IBM Tech Ethics Lab Video Content Development,False,2025-10-15T19:49:11.621Z,2026-12-31,2026-12-31,Michael Lerma,ODL Team,28,2025-10-06T16:46:25.210000+00:00,2025-10-14T17:23:16.591000+00:00,8,0,,,,,,,,,,Media Creation,No,,,,,Michael Lerma,,,,,,In Progress,,,,,,,,,Pre-Production,Up to date,,,,,,,0.00,14h 15m,0.00,24h 00m,Project Initiated - ODL,,,,,,,,,
1211900372320318,C2D: Cybertraining for Chemical Data scientists,False,2025-11-10T14:33:35.929Z,,2026-05-31,Michael Lerma,ODL Team,31,2026-03-20T15:30:32.732000+00:00,2026-05-14T18:22:40.784000+00:00,55,,,,,,,20h 30m,,,,New Course Design,No,,M,,,"Yi Lu, Kevin DeCloedt, Michael Lerma",,,,,,Complete,,,,,,,,,Design,Outdated,,,,,,,,,,,Project Initiated - ODL,,,,,,,,,
1211900373500710,I CAN HELP Learning Modules,False,2025-11-10T14:34:15.673Z,2026-04-30,2026-04-30,Jordan Boskovich,ODL Team,21,2025-10-16T17:28:24.775000+00:00,2026-01-22T20:42:31.037000+00:00,98,0,,,,,,6h 00m,,,,New Course Design,No,,,,,"Jordan Boskovich, Michael Lerma, Brianna Stines",,,,,,Complete,,,,,,,,,,Up to date,,,,,,,,,,,Project Initiated - ODL,,,,,,,,,
1212173464199913,Prototype Project,False,2025-11-26T15:30:23.530Z,,,Michael Lerma,Kaneb Center Team,28,2025-11-26T15:30:26.498000+00:00,2025-11-26T15:31:07.383000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212343204566399,ASCEND MCOB,False,2025-12-08T19:38:09.102Z,,2026-06-17,Annie Conaghan,ODL Team,50,2025-12-08T19:46:50.212000+00:00,2026-06-11T19:06:32.871000+00:00,185,,,,,,,4d 8h,,,,New Course Design,Yes,,L,,,,,,,Mendoza,,In Progress,,,,,,,,,Pre-Production,Up to date,,,,,,,0.00,121h 30m,0.00,22h 00m,,,,,,,,,,
1212627165986472,Borgo Laudato Si' videos,False,2026-01-05T14:30:31.691Z,,,Michael Lerma,ODL Team,32,2026-03-30T11:49:34.696000+00:00,2026-05-06T12:17:06.029000+00:00,37,,,,,,,12h 00m,,,,Media Creation,Yes,,,,,"Michael Lerma, Matthew Simmons",,,,,,Complete,,,,,,,,,Pre-Production,Up to date,,,,,,,,,,,Project Initiated - ODL,,,,,,,,,
1212638027964018,Ultrasound Communication Video,False,2026-01-05T14:30:37.563Z,,,Annie Conaghan,ODL Team,59,2026-04-30T14:25:03.308000+00:00,2026-06-01T14:45:52.878000+00:00,32,,,,,,,1d 5h,,,,New Course Design,Yes,,M,,,,,,,,,In Progress,,,,,,,,,Analysis,Up to date,,,,,,,0.00,51h 45m,0.00,213h 00m,Project Initiated - ODL,,,,,,,,,
1212638028024693,Stata bootcamp modules,False,2026-01-05T14:30:41.024Z,,,Annie Conaghan,ODL Team,31,,,,,,,,,,,,,,New Course Design,Yes,,M,,,"Yi Lu, Michael Lerma",,,,,,In Progress,,,,,,,,,Analysis,Up to date,,,,,,,0.00,32h 02m,0.00,217h 00m,Project Initiated - ODL,,,,,,,,,
1212638028070139,CIF Video,False,2026-01-05T14:31:06.144Z,,,Michael Lerma,ODL Team,21,2026-04-29T14:27:36.002000+00:00,2026-04-29T14:28:58.064000+00:00,0,,,,,,,9h 00m,,,,Media Creation,No,,,,,,,,,,,Complete,,,,,,,,,Design,Up to date,,,,,,,,,,,Project Initiated - ODL,,,,,,,,,
1212660246856608,Jim Lang Coursera Course,False,2026-01-05T14:24:50.230Z,,,Michael Lerma,ODL Team,29,2026-01-25T23:19:56.321000+00:00,2026-01-25T23:19:56.321000+00:00,0,,,,,,,,,,,New Course Design,Yes,,M,,,"Michael Lerma, Kuangchen Hsu",,,,,,On Hold,,,,,,,,,Design,,,,,,,,,,,,Project Initiated - ODL,,,,,,,,,
1212660351308233,Designing to Communicate: Strengthening Communication in Engineering Through Real-World Sustainability Contexts,False,2026-01-05T14:30:44.722Z,2026-08-31,2026-08-31,Michael Lerma,ODL Team,31,,,,0,,,,,,,,,,"XR Project (VR, AR, MR)",Yes,,M,,,,,,,,,In Progress,,,,,,,,,Analysis,Up to date,,,,,,,0.00,0h 00m,0.00,12h 00m,Project Initiated - ODL,,,,,,,,,
1212660352662527,Romance Languages video/podcast initiative,False,2026-01-05T14:31:01.151Z,,,Michael Lerma,ODL Team,31,,,,,,,,,,,,,,Media Creation,No,,S,,,,,,,,,On Hold,,,,,,,,,Analysis,Outdated,,,,,,,,,,,Project Initiated - ODL,,,,,,,,,
1213077276586762,FCTA - Physics II,False,2026-02-02T03:52:42.363Z,,,Michael Lerma,ODL Team,22,2026-02-02T03:52:44.093000+00:00,2026-02-02T03:52:49.939000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,In Progress,,,,,,,,,,Up to date,,,,,,,0.00,11h 00m,0.00,42h 00m,,,,,,,,,,
1213077305408010,Alyssa Neece's previously assigned tasks,False,2026-02-02T03:55:31.344Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213084870202768,Beginning Italian 1,False,2026-02-02T18:03:39.759Z,,,Derrick Patrick,ODL Team,31,,,,,,,,,,4h 00m,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213084870202773,SO Stats,False,2026-02-02T18:04:48.902Z,,,Derrick Patrick,ODL Team,31,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213292120696334,NEON - R&E AI,False,2026-02-16T13:47:30.195Z,,,Michael Lerma,ODL Team,29,2026-03-06T17:46:04.303000+00:00,2026-03-06T17:46:06.609000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,45h 15m,0.00,137h 00m,,,,,,,,,,
1213292120696339,NEON - POLS 30022 (Poly Sci),False,2026-02-16T13:49:55.926Z,,,Annie Conaghan,ODL Team,61,2026-03-06T17:44:06.133000+00:00,2026-03-06T17:44:06.133000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,50h 35m,0.00,405h 00m,,,,,,,,,,
1213316231353035,LAITL Faculty Fellows,False,2026-02-17T15:39:55.277Z,,,Michael Lerma,NDL Leadership,4,2025-10-06T14:03:36.469000+00:00,2025-10-06T14:03:36.469000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project Initiated - LAITL/AI Working Group,,,,,,,,,
1213316247236997,AI Summit Data Analysis,False,2026-02-17T15:40:14.185Z,,,Michael Lerma,NDL Leadership,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project Initiated - LAITL/AI Working Group,,,,,,,,,
1213393701257435,Digital Accessibility,False,2026-02-23T14:41:14.852Z,,,Michael Lerma,ODL Team,3,2026-03-16T14:26:22.769000+00:00,2026-05-28T04:07:35.849000+00:00,73,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,Outdated,,,,,,,,,,,,,,,,,,,,
1213478777903328,Media Studio Sessions,False,2026-03-02T11:42:44.078Z,,,Michael Lerma,ODL Team,1,,,,,,,,,,9h 15m,,,,,,,Unique,,,,,,,,,In Progress,,,,,,,,,,Up to date,,,,,,,,,,,,,,,,,,,,
1213551317973102,ODL Media Studio Sessions,False,2026-03-05T03:29:33.460Z,,,Michael Lerma,ODL Team,5,,,,,,,,,,,,,,,,,,,,,,,,,,In Progress,,,,,,,,,,Outdated,,,,,,,0.00,0h 00m,0.00,224h 00m,,,,,,,,,,
